Store;Date;Weekly_Sales;Holiday_Flag;Temperature;Fuel_Price;CPI;Unemployment
1;5/02/2010;$ 1.643.691;0;42.31;$ 2.572;2.110.963.582;8.106
1;12/02/2010;$ 1.641.957;1;38.51;$ 2.548;2.112.421.698;8.106
1;19/02/2010;$ 1.611.968;0;39.93;$ 2.514;2.112.891.429;8.106
1;26/02/2010;$ 1.409.728;0;46.63;$ 2.561;2.113.196.429;8.106
1;5/03/2010;$ 1.554.807;0;46.5;$ 2.625;2.113.501.429;8.106
1;12/03/2010;$ 1.439.542;0;57.79;$ 2.667;2.113.806.429;8.106
1;19/03/2010;$ 1.472.516;0;54.58;$ 3;211.215.635;8.106
1;26/03/2010;$ 1.404.430;0;51.45;$ 2.732;2.110.180.424;8.106
1;2/04/2010;$ 1.594.968;0;62.27;$ 2.719;2.108.204.499;7.808
1;9/04/2010;$ 1.545.419;0;65.86;$ 3;2.106.228.574;7.808
1;16/04/2010;$ 1.466.058;0;66.32;$ 2.808;2.104.887;7.808
1;23/04/2010;$ 1.391.256;0;64.84;$ 2.795;2.104.391.228;7.808
1;30/04/2010;$ 1.425.101;0;67.41;$ 3;2.103.895.456;7.808
1;7/05/2010;$ 1.603.955;0;72.55;$ 2.835;2.103.399.684;7.808
1;14/05/2010;$ 1.494.252;0;74.78;$ 2.854;2.103.374.261;7.808
1;21/05/2010;$ 1.399.662;0;76.44;$ 2.826;2.106.170.934;7.808
1;28/05/2010;$ 1.432.070;0;80.44;$ 2.759;2.108.967.606;7.808
1;4/06/2010;$ 1.615.525;0;80.69;$ 2.705;2.111.764.278;7.808
1;11/06/2010;$ 1.542.561;0;80.43;$ 2.668;2.114.560.951;7.808
1;18/06/2010;$ 1.503.284;0;84.11;$ 2.637;2.114.537.719;7.808
1;25/06/2010;$ 1.422.712;0;84.34;$ 2.653;2.113.386.526;7.808
1;2/07/2010;$ 1.492.418;0;80.91;$ 2.669;2.112.235.333;7.787
1;9/07/2010;$ 1.546.074;0;80.48;$ 2.642;211.108.414;7.787
1;16/07/2010;$ 1.448.939;0;83.15;$ 2.623;2.111.003.854;7.787
1;23/07/2010;$ 1.385.065;0;83.36;$ 2.608;2.112.351.443;7.787
1;30/07/2010;$ 1.371.987;0;81.84;$ 3;2.113.699.032;7.787
1;6/08/2010;$ 1.605.492;0;87.16;$ 2.627;2.115.046.621;7.787
1;13/08/2010;$ 1.508.238;0;87;$ 2.692;2.116.394.211;7.787
1;20/08/2010;$ 1.513.080;0;86.65;$ 2.664;2.116.033.633;7.787
1;27/08/2010;$ 1.449.143;0;85.22;$ 2.619;2.115.673.056;7.787
1;3/09/2010;$ 1.540.164;0;81.21;$ 2.577;2.115.312.479;7.787
1;10/09/2010;$ 1.507.461;1;78.69;$ 2.565;2.114.951.902;7.787
1;17/09/2010;$ 1.430.379;0;82.11;$ 2.582;2.115.224.596;7.787
1;24/09/2010;$ 1.351.791;0;80.94;$ 2.624;2.115.972.246;7.787
1;1/10/2010;$ 1.453.330;0;71.89;$ 2.603;2.116.719.895;7.838
1;8/10/2010;$ 1.508.240;0;63.93;$ 2.633;2.117.467.544;7.838
1;15/10/2010;$ 1.459.409;0;67.18;$ 3;2.118.137.436;7.838
1;22/10/2010;$ 1.345.454;0;69.86;$ 2.725;2.118.612.937;7.838
1;29/10/2010;$ 1.384.209;0;69.64;$ 2.716;2.119.088.438;7.838
1;5/11/2010;$ 1.551.659;0;58.74;$ 2.689;2.119.563.939;7.838
1;12/11/2010;$ 1.494.479;0;59.61;$ 2.728;212.003.944;7.838
1;19/11/2010;$ 1.483.784;0;51.41;$ 2.771;2.118.896.737;7.838
1;26/11/2010;$ 1.955.624;1;64.52;$ 2.735;2.117.484.333;7.838
1;3/12/2010;$ 1.548.034;0;49.27;$ 2.708;211.607.193;7.838
1;10/12/2010;$ 1.682.614;0;46.33;$ 2.843;2.114.659.526;7.838
1;17/12/2010;$ 1.891.035;0;49.84;$ 2.869;2.114.053.124;7.838
1;24/12/2010;$ 2.387.950;0;52.33;$ 2.886;2.114.051.222;7.838
1;31/12/2010;$ 1.367.320;1;48.43;$ 2.943;2.114.049.321;7.838
1;7/01/2011;$ 1.444.732;0;48.27;$ 2.976;2.114.047.419;7.742
1;14/01/2011;$ 1.391.014;0;35.4;$ 2.983;2.114.574.109;7.742
1;21/01/2011;$ 1.327.405;0;44.04;$ 3.016;2.118.272.343;7.742
1;28/01/2011;$ 1.316.899;0;43.83;$ 3;2.121.970.577;7.742
1;4/02/2011;$ 1.606.630;0;42.27;$ 2.989;2.125.668.812;7.742
1;11/02/2011;$ 1.649.615;1;36.39;$ 3.022;2.129.367.046;7.742
1;18/02/2011;$ 1.686.843;0;57.36;$ 3.045;2.132.478.853;7.742
1;25/02/2011;$ 1.456.800;0;62.9;$ 3.065;213.535.609;7.742
1;4/03/2011;$ 1.636.263;0;59.58;$ 3.288;2.138.233.327;7.742
1;11/03/2011;$ 1.553.192;0;53.56;$ 3.459;2.141.110.564;7.742
1;18/03/2011;$ 1.576.818;0;62.76;$ 3.488;2.143.627.114;7.742
1;25/03/2011;$ 1.541.102;0;69.97;$ 3.473;2.145.999.389;7.742
1;1/04/2011;$ 1.495.065;0;59.17;$ 3.524;2.148.371.664;7.682
1;8/04/2011;$ 1.614.259;0;67.84;$ 3.622;2.150.743.939;7.682
1;15/04/2011;$ 1.559.889;0;71.27;$ 3.743;2.152.918.561;7.682
1;22/04/2011;$ 1.564.820;0;72.99;$ 3.807;2.154.599.053;7.682
1;29/04/2011;$ 1.455.091;0;72.03;$ 4;2.156.279.544;7.682
1;6/05/2011;$ 1.629.391;0;64.61;$ 3.906;2.157.960.035;7.682
1;13/05/2011;$ 1.604.776;0;75.64;$ 3.899;2.159.640.526;7.682
1;20/05/2011;$ 1.428.218;0;67.63;$ 3.907;2.157.339.202;7.682
1;27/05/2011;$ 1.466.047;0;77.72;$ 3.786;2.155.037.878;7.682
1;3/06/2011;$ 1.635.078;0;83;$ 3.699;2.152.736.553;7.682
1;10/06/2011;$ 1.588.948;0;83.13;$ 3.648;2.150.435.229;7.682
1;17/06/2011;$ 1.532.115;0;86.41;$ 3.637;2.149.980.596;7.682
1;24/06/2011;$ 1.438.830;0;83.58;$ 3.594;2.150.910.982;7.682
1;1/07/2011;$ 1.488.538;0;85.55;$ 3.524;2.151.841.368;7.962
1;8/07/2011;$ 1.534.850;0;85.83;$ 3;2.152.771.754;7.962
